SECTION,SUBSECTION,PARAMETER,OBSERVED_VALUE,MODEL_VALUE,ERROR,NOTES
DARK_MATTER,ROTATION,NGC_3198,v_flat=150km/s,Keplerian predicts decline,gap requires explanation,both DM and aether fill gap equally
DARK_MATTER,MECHANISM,dark_matter,invisible mass halo,tuned to match curve,NOT independently detected,defined as residual
DARK_MATTER,MECHANISM,aetheric_drag,medium drag term,tuned to match curve,NOT independently detected,same explanatory power
DM_DETECT,LUX,2013-2016,Null,"370 live days, 10 tonnes xenon",null,direct detection attempt
DM_DETECT,XENON1T,2017-2018,Null,"1 tonne-year exposure, one unexplained e",null,direct detection attempt
DM_DETECT,PandaX-4T,2021-2023,Null,"0.63 tonne-year, world-leading sensitivi",null,direct detection attempt
DM_DETECT,LZ (LUX-ZEPLIN),2022-present,Null,"Most sensitive to date, 60 live days",null,direct detection attempt
DM_DETECT,CDMS/SuperCDMS,2004-present,Null,"Germanium/silicon detectors, multiple ru",null,direct detection attempt
DM_DETECT,DAMA/LIBRA,1995-present,Annual modulation claim,Controversial — no other experiment repl,null,direct detection attempt
DM_DETECT,LHC (ATLAS/CMS),2010-present,Null,No dark matter particles at any energy,null,direct detection attempt
DM_DETECT,Fermi-LAT,2008-present,Null,No dark matter annihilation signal detec,null,direct detection attempt
DM_DETECT,AMS-02,2011-present,Ambiguous,"Positron excess — could be pulsars, not ",null,direct detection attempt
DM_DETECT,ADMX,2018-present,Null,Axion search — no detection,null,direct detection attempt
DARK_ENERGY,SUPERNOVA,dimming,observed at z>0.5,expanding spacetime|aetheric attenuation,both fit with tuning,neither independently verified
DARK_ENERGY,PREDICTION,68%_of_universe,never directly detected,inferred from luminosity gap,GAP-FILLER,same epistemological status as aetheric drag
HUBBLE,VALUE_1,Planck_CMB,67.4 ± 0.5 km/s/Mpc,early universe measurement,,ΛCDM model dependent
HUBBLE,VALUE_2,SH0ES_Cepheids,73.0 ± 1.0 km/s/Mpc,local measurement,,model-independent
HUBBLE,TENSION,discrepancy,5.8 km/s/Mpc,5+ sigma,UNRESOLVED,growing not shrinking
HUBBLE,FIRMAMENT,interpretation,no expansion,H0 doesn't exist,N/A,avoids tension entirely
AGE,Precession cycle,"25,772 years",">6,000 yrs",REQUIRES explanation,,"Observed precession rate requires >6,000 yr histor"
AGE,Babylonian eclipses,"~2,700 years of records","fits 6,000 yrs",CONSISTENT,,"Oldest eclipse records ~720 BC, consistent with yo"
AGE,Saros cycle,"~3,000 years confirmed","fits 6,000 yrs",CONSISTENT,,"Eclipse pattern repeatable, documented since Babyl"
AGE,Tree rings (dendro),"~14,000 years (bristlecone)",">6,000 yrs",REQUIRES explanation,,"Continuous tree ring record exceeds 6,000 years"
AGE,Ice cores (GISP2),"~110,000 years",">>6,000 yrs",REQUIRES explanation,,Annual layers counted — but assumes uniformitarian
AGE,Radiometric dating,4.54 billion years (Earth),">>6,000 yrs",REQUIRES explanation,,Multiple independent methods converge — but assume
